tweet_text,sentiment_predict
Aí você vai toda arrumadinha e volta cheia de vinho Kkkk #AlguémTemDuvidasQueDeuBom #EramosAsMaisFelizes #Fato #SeguraElasAeeeee #BrotouFotoDoNada #Adorei #Caretela #NuncaMaisParoDeFalarDisso kkk https://t.co/5DzfnvzbVd,0
@h2okellyy :((( ontem aconteceu o mesmo com brenda e inclusive o menino que ela conversou sobre isso é da tua turma,0
Precisamos arrumar mais role pra ir :( — bora bora https://t.co/Fn2kHlbNNt,0
sdds :(,0
"@leo_srodigues Que fogo crlh? Então mas alguém está a mencionar nomes? Não, repito, se lá estivesse nomes e caras, ai sim :)",0
"Chegou outubro o melhor mês do ano, o meu mês, tbm falta um mês para o Enem :(",0
"Apple anuncia novas versões do iPhone, Xs e Xs Max https://t.co/qzIVNTnJN3 #G1 https://t.co/sKAhjL1k8U",1
Trump volta a defender juiz acusado de abuso: ‘foi provado que é inocente’ https://t.co/lgwV3ARa5x,1
Novo Malbec Magnetic traz o magnetismo das uvas brancas. Saiba mais em nosso site: https://t.co/xXvWL3RjUi (link na Bio) #novidade #cheiro #perfume #fragrancia #malbec #uvasbrancas #lancamento… https://t.co/TxAPxkhByZ,1
Auxiliar de Serviços Gerais Salário: R$ 1.200 + Benefícios Local: São Paulo Mais informações sobre a vaga: https://t.co/ji0NefNHZT Quer mais vagas? Acesse: https://t.co/DSb9kWVk49 #trabalho #work #oportunidade,1
Pontes localizadas em todo mundo! Vale a pena assistir! #curiosidade #engenharia #engenhariaincrivel #pontes Elegancy Forros https://t.co/fqNtOOmeuH,0
a minha maior decepção não é nem pelo ciro e sim pelo suplicy :(((,0
Amanhã que seja greve novamente :),1
Kátia Abreu sugere que Haddad renuncie e Ciro o substitua contra Bolsonaro https://t.co/DRBU0tgv7b,0
"Conseguiste concretizar alguns objetivos este ano? — Ainda tô em processo, mas satisfeito e grato com todos os passos que dei esse ano :) https://t.co/9dkKCAj7IW",0
@ocafebelgrado mandei-lhe uma DM.. :),0
Assistente Administrativo de Vendas Salário: R$ 1.500 + Benefícios Local: Caieiras Mais informações sobre a vaga: https://t.co/TjW6gokkmT Quer mais vagas? Acesse: https://t.co/DSb9kWVk49 #trabalho #work #oportunidade,2
Peixe raro capturado em Fernando de Noronha pode ser de espécie desconhecida até então https://t.co/cPe8VV0hoS #G1 #G1Pernambuco https://t.co/uUhvUjwZx4,1
"Quando você quer mesmo você faz, nada te impede #Fato",0
"@abreu_martaa ao lado do terceiro já fico o quarto rsrs, na sala é mais confortável :p",0
"@MarciaPedralino @revistaVIP Deu um pouquinho, né 😆 hahah",0
Anjinhos curtindo a noite com a companhia um do outro que lindos :( https://t.co/gw58CSnv3v,0
Compare o que foi detalhado nos programas de governo dos candidatos ao Palácio do Planalto https://t.co/8l5LFvK5zs #Eleições2018,1
@raissagambarra eu tbm :(,0
Saiba mais: https://t.co/rWmXCaN8Bg ⠀⠀⠀⠀⠀ #RedeFuturaDeEnsino #Faveni #Empregos #Oportunidade #QuartaDetremuraSDV https://t.co/uqBxIrRbNU,1
1968: Astronautas da Apolo-7 inauguram caminho para futuras missões à Lua https://t.co/7R29QHEHG1,0
&gt;@EstadaoInter Coreias do Sul e do Norte começam a remover minas terrestres de fronteira https://t.co/s21CdeGq93,1
@isaabellacp foram 11 na real :D,0
@viiiny11 Eu não tenho serviço nem pra mim :(,0
a gnt nao se vê muito :( mas gosto bastante de vc lembranças do niver do Pena mt linda saudades,0
@BTSNewsBrasil @BTS_twt Peach Jelly minha filha mais linda e seus fancams :))),0
"'O sexo é fluido e ferramenta de adaptação para o futuro', diz bióloga. https://t.co/TpNOSMi3kL https://t.co/0Nkxda8021",1
"Sob ecstasy, polvos ficam mais sociáveis e abraçam colegas em estudo https://t.co/X0OcRji8uh",1
Reino Unido indicia 2 russos por caso de envenenamento de ex-espião https://t.co/vvqribgf1X,1
"Dólar caiu :) - R$4,00 às 14:39",1
"Incêndio de grandes proporções destrói o Museu Nacional, no Rio de Janeiro. Ele é considerado um dos museus mais antigos do Brasil, criado por Dom João VI e tem 200 anos de história. 🎥📺 ••• #DomingoEspetacular #Jornalismo #Matéria #Notícia #RecordTVBelém https://t.co/GPSrJTFsbb",1
Votar em partido pode não ser um bom negócio em eleição para deputados https://t.co/qjQ0RWyFVp https://t.co/0fJweSgUwq,1
"Paul Manafort, ex-chefe da campanha de Trump, se declara culpado em duas acusações de Robert Mueller e vai cooperar com investigações https://t.co/gGZXwCllct #G1 https://t.co/1mqPPjsKpC",1
JORNAL DO CARRO: Veja ‘tecnologias’ arcaicas ainda em uso nos carros https://t.co/PGDaBpbxGB https://t.co/WqFlKieDuK,2
Veja o que é #FATO ou #FAKE nas entrevistas de Jair Bolsonaro para o Jornal Nacional e para o Jornal das Dez https://t.co/q1n3W1B9WJ,2
Ministro do STF diz que eleições impedem reanálise da prisão em segunda instância https://t.co/4M734qZpDH,1
"@juvieir4 suma não, não sei viver sem você :(",0
:) Auxiliem a deixar o blog no ar dando uma clicadinha no banner de propaganda. Isso nos faz com que consigamos deixar o blog ativo. https://t.co/cDqWcQUoWj #umbandayorima,1
"Acabamentista - São Paulo, SP https://t.co/Nxb8iHW9SS #emprego #oportunidade #vaga",2
"Na inauguração de Brasília, Charles Aznavour lançou música em homenagem à nova capital https://t.co/6Jxfsc2y4j #G1 https://t.co/ADC4pttCsN",1
"Dólar cai para R$ 4,03 com pesquisa eleitoral e decisão do Fed sobre juros nos EUA https://t.co/ZgDStJlcXG",1
Making Of diferente do noivo a gente também faz :) https://t.co/UR6lLuADeB,0
Hospital infantil da Região de Curitiba fecha leitos e cancela cirurgias por falta de médicos https://t.co/JBx6VDEmZc #G1 #G1Parana https://t.co/8RmonJrUdK,1
@claudiomurilo3 Affff. É uma frase de Harry Potter. :P,0
Tive a alegria hoje de poder estar junto aos trabalhadores da Feirinha do Largo da Ordem ouvindo suas necessidades e falando sobre minhas propostas. Política justa se constrói na rua! #coragem #fichalimpa #trabalho #jocunha #renovacao #parana #estadual https://t.co/ScM9mFHb4v,1
"Crise humanitária é fabricada para justificar intervenção, afirma Maduro https://t.co/388ghnRFUu",1
@luisaalyra Sou de semio bb... Monitoria pro 3o ano :),0
Veja dicas para manter-se organizado no trabalho! #dicas #trabalho #job #carreira #organização #prioridades #tarefas #metas #aberj https://t.co/RDCxhyArBI,2
&gt;@colunadoestadao Carlos Jereissati declara voto em Bolsonaro e Doria https://t.co/rb2lCLdtAr https://t.co/xwMCEbSJAr,1
queria :((( https://t.co/ZsnYfTJb4V,0
"Tres ediciones suena fácil. Muitas pessoas envolvidas, um objetivo só: FITLÂ!!! Camino a la cuarta edición, ahora en Argentina (abril de 2019) :) https://t.co/ifSR5l1etQ",1
"Aquele que é sujo, se suje mais. Aquele que é limpo, se limpe mais! #FATO",2
"@lassiratuts Poxa, Lari. Eu sinto muito por isso... :(",0
"@sapataogoals Entendi, obg :)",0
@jaeminroses saudades do xing :( espero que tudo de certo com todas as agendas e eles consigam ter comeback ot9,0
"🔮Olá Pessoal , Sobre a data de lançamento ainda vai demorar pois estamos tentando trazer a melhor jogabilidade para vocês :D , estamos trabalhando bastante :p (❤+🔄)",1
"@blckbwr amg te entendo, as pessoas de hoje estão muito intolerantes e nojentas, podemos ver só pelo candidato a presidência que a grande maioria elegeu, porque o ódio está superando o amor e a tendência infelizmente é piorar :(",0
"@KimkawaiiX Oh :(, ok, às vezes também tenho dias assim, é normal, e não é por 1 dia que vais morrer, né. Mas still, be careful, my dude, stay safe",0
@mthware eu queria fazer o meu almoço :),0
Veja o que é #FATO ou #FAKE na entrevista de João Amoêdo ao G1 e à CBN https://t.co/2I4OU5GfVc,2
Não precisava jogar na cara assim :( https://t.co/Msikiijz77,0
"eu não fiz o trabalho, eu nem vou pra aula, eu quero ta pelo menos viva pro estágio :(",0
"Comprei um desktop novo, e tão indeciso que não sei se recuso a entrega quando chegar. Tomar decisões com orçamento mínimo é uma merda. :(",0
Se Vc é amante das águas e gosta de navegar. . . . . #leisure #litoral #eventos #corporativo #agenciadeviajes #felicidade #ferias #amigos #viagem #viageminteligente #brasil #mundo #viajando #casamento #luademel #vida #oportunidade #aventura #compras #follower #followers https://t.co/wMnx6qX4sP,0
Lamborghini Huracán Performante Spyder: US$ 310.000 de alegria https://t.co/DTVxrMwxyU,1
"Com cláusula de barreira, um terço dos partidos ficará sem verba pública. https://t.co/ppQXkur7Gf https://t.co/7nQKKoRE9i",1
Previsão de chuva até sexta :(,1
#Vaga para Revisor(a) detalhes e envio de cv em: https://t.co/uR45DGesUG #oportunidade #emprego,2
O medo do Bolsonaro facilitará pra que isso aqui vire uma Venezuela atropelando os 3 poderes :) https://t.co/qlZoFyaGsR,0
"#VideoShowAoVivo Demorei bastante pra me olhar com mais carinho, mas hoje posso dizer que: sim, ME AMO! :) https://t.co/P9iD9T0nyT",0
@rezende_evil hoje faço 15 meses de fc :),1
@jubrites_ Alias amigaaa se tu quiser tua bota te mando pelo o heron :),0
"#FATO #URNAELETRONICAÉFRAUDE Acham que vão entregar de mão beijada ? Vai ter muita correria a partir de agora Olho Bolsonaros, o perigo está aí fora #ARMEMSE https://t.co/j33duSfQnC",0
Não tenho nada para fazer :) https://t.co/PAekiEVFzU,1
@behbastos @cdshikida É só até domingo. Depois volto ao normal! :D,1
"Assistente Administrativo - Nova Lima, MG https://t.co/I7SpeOmLwn #emprego #oportunidade #vaga",1
@S93WN Você achou? :(,0
"@daylimns @carolbiazin pensa pelo lado bom, sem freio é melhor :)",1
eu to tao cansado mas to felizinho que consegui assistir meus episódios de boku no hero :)),0
@oxwshun @swjeongguk Você também :),0
"3 horas de estudo intensivo de matemática, ando aplicado :)",0
&gt;@andrezamatais Agressor de Bolsonaro escreveu no face ter ‘nojo’ do candidato https://t.co/fCEsHo2ze4 https://t.co/wRqIVcad6g,1
ai eu te amo :( https://t.co/KXMqKAQLze,0
Petrobras fecha acordo para encerrar investigações nos EUA https://t.co/WePUkyJUKt,1
Republicanos temem onda democrata em distritos antes seguros nos EUA https://t.co/7eZgqpw7OF,1
"@_mtonin vdd best, uma vez na frente da minha casa, me machucaram até, depois disso eu parei de andar por aqui :( uma bosta kkk",0
Se Bolsonaro não vencer estas eleições no BRASIL!!! Vai ter guerra civil!!!! #Bolsonaro2018 #FATO https://t.co/iAREVeySJc,1
Prefeitura do Rio ainda não começou obras determinadas pela Justiça. https://t.co/Mf4JOOqyTb https://t.co/mFMCimBpRA,1
"Eu falei inverdades, diz ex-mulher de Bolsonaro https://t.co/c8nY4k23TJ",1
@samara_shayenne Assim que for aí eu te aviso hein :D!,0
Empresa deixa de pagar auxiliares e alunos com deficiência ficam sem aula em SP https://t.co/HguMStYb1N,1
@fodido so faltava aí o #deusnocomando ahahahah coisas amaravilhosas que aprendo com as eleições brasileiras :),0
Vou morrer sozinha :),0
Jornal relata crise nos bastidores do PSG após pedido de técnico ser negado: https://t.co/95i4vM1ap6 (via @esportefera),1
Comprar coisa no ML que é de SP num dia é receber no seguinte :D,1
&gt;@brdezoito O primeiro debate pós-atentado https://t.co/vHuBohlufF,1
Brinquedoteca em hospital infantil é montada por advogada que perdeu o filho em um atropelamento. https://t.co/hDbYyFPT35 https://t.co/1dVreFSb4A,1
#política via #Valor - Veja o que é #FATO ou #FAKE nos planos de governo dos presidenciáveis https://t.co/7Ef7Y6e2wx,2
Comigo já KKKKKK RINDO DE DESESPERO JA ACONTECEU ISSO DUAS VEZES E COM GAROTAS DIFERENTES ai ai ai :(,0
Bolsonaro ou Haddad: quem pode fazer mais pelas empresas do Brasil? https://t.co/vQENdKaSDo,1
Concurso para agente penitenciário oferta 4 mil vagas. https://t.co/Yoygd9gFWp #oportunidade #TánoLeiaJá https://t.co/hh3egmbJKG,1
@gamaa_emanuele @HugoLop40766478 quem tem joga!!!! Melhor pessoa :),0
Opá acho msm que vou passar a ter treinos só à quinta PORQUE EU NÃO TENHO MAIS TEMPO :),0
"Confira essa deliciosa receita, feita com o nosso Excalibur :) Baixe nosso E-BOOK com Receitas Desidratadas https://t.co/80kvN4MNTZ #frutas #saude #desidratador https://t.co/Bl0FCzxIfC",1
ÍNDIO DA COSTA GANHOU MEU VOTO!!! VEJAM ELE DIZENDO EM PLENO DEBATE QUE VAI VOTAR EM BOLSONARO. #BOLSONARO2018 #BOLSONARO1TURNO #FATO https://t.co/IzjiUSAlYI,1
"@Lauriano_Populr [+] se quiser trocar uma ideia sobre editais, tamo aí! tenho estudado mais sobre esse assunto de uns dois anos pra cá e tem muitas coisas legais rolando no BR todo, tem lugar pra gente sim. é só questão de nos prepararmos bem. em 2019 pretendo me inscrever em algum finalmente! :)",0
tenham um bom dia :),1
"💡BRASIL💡 O empresário é condenado desde 2010 por crimes contra o sistema financeiro, cuja a pena pode chegar a 9 anos e dois meses de prisão. #noticia #brasil #tipomanaus https://t.co/MjkgTGxSbQ",1
E o efeito do remédio está acabando :(,0
amas de onde saiu essa carência toda que eu não tô entendendo :(,0
"Adaptação do livro de Elena Ferrante, 'A Amiga Genial' é aplaudida em Veneza https://t.co/miTIy6s6Kc",0
"Paes registra 29% das intenções de votos válidos no RJ sem a presença de Garotinho, mostra Datafolha https://t.co/5aogomqLze #Eleições2018 https://t.co/tF2h0rCvrE",1
Mas vejo só quem acordei com dor de garganta :),0
"@thalitameneghim boa noite princesa, se cuida tá? :(",1
"Dia Produtivo, Corrido, Puxadooooo #Trabalho durante o dia #Patins pós 17h #universidade 19h Ocupe sua vida em Mato Grosso do Sul https://t.co/eLMKxjKgVj",1
Datafolha: Ciro Gomes lidera como segunda opção de voto para eleitores. https://t.co/4lrbM9Ce16 https://t.co/E2nYpNEzoC,0
@ehraissa eu não sei se eu vou me sentir pior depois se eu anular meu voto :(,0
"Tá bom, dei três mordidas no negócio e não consigo mais comer :D",1
@nicpereiras agr q estou na minha caminha irei dormir mais :)),0
@greixs KKKKKKKKKKK eles falaram isso pq eu falei q o aborto deveria ser legalizado mas ok concordo rs :),0
ahhh que lindo meu amor :(( mas oq vc fez de errsdo?? sempre me trata mal https://t.co/IO0OCa23w6,0
Tbt panderistico! 😁 #trabalho #percussão #pandeiro #music #amores #brasilian #groove https://t.co/0dFQXI1tNq,1
@ibasela_ achei que smp tivéssemos :( tu vai pro lolla?,0
@g4lblood meu pai :(,0
"nunca beijei, triste :( https://t.co/TU41c7fB00",0
Façam meu dia melhor :( https://t.co/YpL40rMSYb,1
Nossa bicho ver meus amigos desesperados tá me matando pq não tem nada que eu possa fazer ou falar que vai confortar eles :(,0
Cristina ta falando da palestra q eu n fui aff :(,0
@armyarquivo Eu tbm perdi as do tarde :(,0
@ialmeidaaa @uma_atleticana Amanhã! :),1
@Doce_Vicio a militância está subindo uma tag #FocoNoHaddad :))) https://t.co/7JV5hKiW1G,0
"&gt;@EstadaoEconomia Falta trabalho para 12,7 milhões de brasileiros, aponta IBGE https://t.co/yrX4OvWqes",1
to de banho tomado já :),0
"#MTVBaseLuso | #Notícia @Nga_reidals ""Filho Das Ruas 2"" Dia 08/09/18 (Praça Da Independência) Dia 09/09/18 (Shopping Av. Viana/Shopping Av. Morro Bento) Luanda / Angola 🇦🇴 Simultâneamente disponível nas plataformas digitais: Spotify/ITunes/Google DopeMuzik©️ #HipHopLuso https://t.co/elWwm7gJcs",1
foo :-) : 1694de03-334a-4b71-9b0e-bd720e66add0,0
"Ibope – Distrito Federal, votos válidos: Ibaneis, 43%; Eliana, 14%; Rollemberg, 12%; Rosso, 12% https://t.co/73hRg1r5ty #Eleições2018 #G1",1
@diegorez2 Então. Não consigo. Eu vou em ok. E ele não atualiza... :(,0
"Terminé teen wolf, no se que sentir :)",0
ciro ou haddad? haddad ou ciro? socorro n aguento mais essa eleição :(,0
Leão-marinho chama a atenção de frequentadores na Praia do Recreio. https://t.co/RtjdDJkdCa https://t.co/zwZFJ45Qrx,0
"começando, so vem?! :P https://t.co/zbDA5Elz6e https://t.co/kZJIPwixB6",0
n gosto de te ver tristinho no tt — também não gosto de ficar tristinho kkkkk :( https://t.co/MAsnz0QIj5,0
Correios fecharão 41 agências neste mês; STF reafirma que demissão de funcionários não precisa de processo administrativo https://t.co/iTfkbFZD4r #G1,1
eu quero essa blusa :(( https://t.co/j88JwwvurN,0
Dono das farmácias Pague Menos é preso de novo https://t.co/f9jYfBOzZY,1
Tô tão chatiada pelo que aconteceu hoje :(,1
Aulas de programação e robótica entram para o currículo de escolas em São Paulo https://t.co/85UjfypJHC,1
@martA_alves03 Agradecido pelo reconhecimento :),0
"@gustavodocil Inclusive acho que nossa região deveria ser maior e incluir sul america e aumentar a competividade. Campeão do CBLOL enfrenta campeões sul americanos, o ganhador vai pro mundial :)",1
Ataque de babá chinesa em NY põe em evidência turismo-maternidade nos EUA https://t.co/7wEzAWjSRz,1
Reconhecem a cobra criada que ela é e simplesmente não fazem nada :),0
"@CFrancisco1998 @vitao_guedes Acontece. Lembra do Luverdense em 2013? Acontece e não muda o fato, jogou como de série C. #fato",2
Debate da Globo: O que dizia a carta de Alvaro Dias para Lula https://t.co/yA6Iz2RFvX,1
PT anuncia candidatura de Fernando Haddad à Presidência no lugar de Lula https://t.co/MU6AsP5mXB #G1 #G1Parana https://t.co/LDvxC0fxWM,1
"ESTUDO: ter MAIS PRAZO para um [mesmo] #trabalho aumenta a percepção de #complexidade, o esforço investido na solução... e aumenta a procrastinação e a probabilidade das pessoas desistirem da tarefa! tá aqui: https://t.co/aHb85fD8gb. os humanos são movidos a ""isso é pra ontem""... https://t.co/pIumsspIXE",1
"Esses antibióticos que eu tomo é fodaa , :(",0
@perecilaa Agora estamos sem saber pra onde correr :(,0
Rainha Paola da Bélgica sofre um derrame https://t.co/FNu4hZNfIV,0
Ricci Rh - Assessoria de Carreira - Acompanhe o depoimento do nosso cliente #RicciSucesso #RicciRh #MomentoRicci #DicasDesucesso #DicasRH #ClaudioRiccioppo #EmpresáriosDeSucesso #Trabalho #Emprego #RecolocaçãoProfissional #Depoimento https://t.co/fpoxJbvnDW https://t.co/VVYaiK6GF4,2
@natammy Mandei DM. Verifica lá. :),0
@DY95PJM @imasunflowxr Não gosto quando meu amorzinho chora. :( amo você.,0
"@msantoro1978 Queria enquadrar esse tuíte pra posteridade. Até postei na ""outra rede"", com os devidos créditos, claro. :)",0
Trump diz que Kim Jong-Un tem sido 'incrível' https://t.co/xIeBSJGRLU #G1 https://t.co/FUIjGq5C74,1
@im3ns3 De nadaaa . :),0
"Ah nem, vou ter que esperar até quinta pra saber minha nota de química :(((",0
@thouartxme eu quero momoi :( https://t.co/xz4X5aMjY3,0
"Em eleição polarizada, país vai às urnas para escolher seu 38º presidente https://t.co/uqHrukx5UX",1
&gt;@EstadaoInter Chanceler diz que crise econômica é promovida para justificar intervenção militar na Venezuela https://t.co/BvTsx9rE2L https://t.co/pyT5hDPYn5,1
@joanaiag Eu quero que tu te fodas :) amanhã às 9:30?,0
Cientistas descobrem ligação entre estresse e doenças autoimunes. Assista a reportagem no link: https://t.co/aQhyWWveSi 🎥📺🇧🇷 ••• #FalaBrasil #Jornalismo #Matéria #Notícia #RecordTVBelém https://t.co/4CUo3UMPEq,1
Já no CRECI-RJ esperando a solenidade de entrega da Carteira de Corretora Estagiária 😊 🏡 #cacaurodriguesoficial #corretoradeimoveis #PrivilegioImóveis #amelhordorio #work #trabalho… https://t.co/KzKWBtev8p,1
"ah gente vms esquecer um pouco de política e lembrar q essa semana tem a nossa camila aqui no Brasil,q é triste pois n vou :( https://t.co/PIydAr7JzH",0
"Já está na loja... é uma peça Linda... :) Camiseiro nórdico em pau santo, com 6 gavetas ORIGEM: Dinamarca, anos 60 ESTADO: Peça restaurada DIMENSÕES (cm): Comprimento: 82 Profundidade: 40 Altura: 112",0
"me amarro em ver meu irmão online e n me responde, gosto assim :)",0
"@giovannalbraga Poxa, chateadissima :( vamos simmm!",0
"@httpstupd Ah, estou bem com esse fato. Mas obrigada pela preocupação :)",0
@centralmarmotas Melhoras pro seu pai :3 Tomate q de tá certo :D,0
@BertaLiebher Bem que eu tentei :(,0
@mechamoigor apois é nesse mesmo que ficarás famoso!!!! DSFHUIFSDHU eu ja ia brigar ctg q tua @ nesse site não é igori :(,0
"#NOVIDADE Vamos encher a tua casa de novidades irresistíveis para criares um ambiente de sonho no teu espacinho mais especial. Entra e conhece a nossa coleção lar, doce lar &gt; https://t.co/EO2EGRtMnB #mrwonderful https://t.co/Sl9VI5fjjE",1
"🆘gente fugiu um dog da raça Fila, marrom, 8 anos, uns 40cm de altura e ta com coleira... aqui na rua de casa em pinhais🆘🆘🆘🆘 :(",0
Haddad rebate propaganda do PSDB e diz que tucanos romperam a normalidade democrática https://t.co/Julf7mbIM9,1
"@araujocaaa1 Parabéns, ganhou o prêmio de escrota do dia, à frente até do Frota preso por não pagar a pensão :)",1
"Ontem o ensaio foi ótimo, uma pena a Lya não poder :((( Aii to ansiosa, vai ter muita novidadeee",0
o yuta é tão lindo :(,0
"Dois presos, dois pesos e duas medidas https://t.co/BhAMccctt7",0
EDITORIAL: Defesa eloquente da democracia https://t.co/hA4Fgoquky https://t.co/rbrMqjgZ7o,1
"Nem acredito que a semana universitária acabou e eu não fiz metade de nada que eu queria fazer, nem descansar :(",0
@cabeyostra :( eu quero ir pra Frankfurt ilegalmente,0
so queria que meu amor chegasse logo :(,0
pq vc me odeia tanto???? :((( tu é a pessoa mais linda e perfeita desse mundo https://t.co/jHPNlQ9gmJ,0
aqui em campinas :( https://t.co/4MS0g5e8HF,1
mano eu gostava tanto dele :( https://t.co/cClpuVJA6z,0
"tirei 16 na prova de cálculo, valendo 20 :D",0
Amoêdo critica 'voto útil' e diz que 1º turno é para 'votar em quem acredita' https://t.co/8yw0JRE7Ye #G1 https://t.co/byeNtpXdM0,0
"#Opinião #EspaçoColorado 🇮🇩 A mesma imprensa que dizia que o #Inter brigaria p/ não cair, agora muda o foco e diz que é obrigação ganhar o #Brasileirão2018. Qualquer outra colocação é fracasso. Hipócritas: O INTER NÃO TEM ESSA OBRIGAÇÃO. #Fato: Já Superamos todas expectativas",0
@TheSilkyFeather Pas de soucis :),0
"Advinha quem vai ter acesso a beta do PES 2019 Mobile? hehe, fico feliz de ter inscritos que me ajudam nesse trampo. Vlw David :)",0
"@JotaInfo O cara tá condenado! #fato Discussão é a gradação da pena (qts anos), por isso fica solto. Brasilllll é P.H.O.D.A.",0
Derrota de líderes do MDB nas urnas pode prejudicar leilão da Eletrobras https://t.co/iA4ULrWkKf,1
ei sorria :) https://t.co/JafGfLGUx6,0
&gt;@Estadao França investiga desaparecimento de chefe da Interpol após viagem à China https://t.co/ADNGwOR4nU,1
Veja o que é #FATO ou #FAKE nas entrevistas de Jair Bolsonaro para o Jornal Nacional e para o Jornal das Dez https://t.co/62MBlu6qOP,2
"tenho medo q n seja isso q Deus quer mesmo com tantos avisos, eu realmente n quero me decepcionar e nem me magoar, quero ter uma vida cm ele :(",0
Veja o que é #FATO ou #FAKE nas entrevistas de Bolsonaro ao JN e J10 https://t.co/XLowTAMoKx,2
@LuluSantos coroão :),0
Sabes que estas gorda quando partes uma placa do ringue a meio :),0
@helljikook tudo bem :((,0
&gt;@EstadaoCultura Fnac fecha as portas na Avenida Paulista; só resta uma loja no Brasil https://t.co/uTm74TamK7,1
3 de cada 4 deputados contrários ao ‘fundão’ pediram acesso a recurso https://t.co/81aWtLHo0p,1
@hometovwn @_IzaEscher Beijos pra duas :D,0
@kpop_mi_vida Nunca :),0
sou a pessoa mais feliz do mundo no dia de hoje :))),0
ainda to brava por ter sido invadida de madrugada e perder meu tuit fixado :(,0
@ralf_rooney @RG0297 @marcao97fm É Mesmo?🤔Será Que É Isso Mesmo?🤔#Katzoporra #Fato 🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌🤣🦌 https://t.co/3q9fxvuQb3,2
